                             MATêRIAS PRIMAS;;;;;;;;%;
DESCRIÄ«O;FORN.;LARG.;UNID.;CUSTO;AVISTA;% IPI;% ICM;FRETE;PIS+COFINS
APRETAN 9202;Clariant;;KG;4,63;6,11;0;18;3;9,25
APRETAN DC;Clariant;;KG;3,26;4,30;0;18;3;9,25
ARCOFIX NMB;Clariant;;KG;4,73;6,25;0;18;3;9,25
FLOCK HT;Clariant;;KG;20,86;27,54;0;18;3;9,25
HYDROPERM SRHA;Clariant;;KG;13,89;18,34;0;18;3;9,25
NUVA TTH;Clariant;;KG;40,91;54,01;0;18;3;9,25
NUVA HPC;Clariant;;KG;50,60;66,80;0;18;3;9,25
DENACRIL TH-300;Clariant;;KG;6,02;7,95;0;18;3;9,25
PRINTOFIX E-2009;Clariant;;KG;6,11;8,06;0;18;3;9,25
EMOCRYL D;Clariant;;KG;4,49;5,93;0;18;3;9,25
GENAPOL LRO;Clariant;;KG;2,36;3,12;0;18;3;9,25
NATIONAL 25;Resinac;;KG;2,12;2,80;0;18;3;9,25
RESIMEL 811;Resinac;;KG;3,17;4,18;0;18;3;9,25
CATALISADOR R;Resinac;;KG;0,92;1,21;0;18;3;9,25
PROTETON COCV;Resinac;;KG;41,66;55,00;0;18;3;9,25
ALCOOL ISOPROPILICO;;;KG;3,79;5,00;0;18;3;9,25
ANTIMICROBIANO;Resinac;;KG;227,25;300,00;0;18;3;9,25
HOSTAPAL;Clariant;;KG;9,33;12,32;0;18;3;9,25
;;;;;;;;;
PIGMENTO MARFIM;Claritex ; 829 ;KG;5,67;6,93;0;12;3;9,25
PIGMENTO SIZAL;Claritex ; 830 ;KG;13,36;16,34;0;12;3;9,25
PIGMENTO CAFê;Claritex ; 831 ;KG;17,01;18,95;0;4;3;9,25
PIGMENTO BEJE GUABOR;Claritex ; 883 ;KG;12,32;15,07;0;12;3;9,25
PIGMENTO GELO;Claritex ; 884 ;KG;5,15;6,30;0;12;3;9,25
PIGMENTO CAPUCCINO;Claritex ; 884 ;KG;14,99;18,34;0;12;3;9,25
PIGMENTO AREIA;Claritex ; 884 ;KG;12,25;14,98;0;12;3;9,25
PIGMENTO SALM«O;Claritex ; 884 ;KG;8,22;10,05;0;12;3;9,25
T-910;IQT;;KG;3,33;4,12;5;18;3;9,25
T-402 ( ESPESSANTE );IQT;;KG;5,09;6,30;5;18;3;9,25
T-485 ( AUTOCOLANTE );IQT;;KG;5,01;6,20;5;18;3;9,25
;;;;;;;;;
CARBONATO DE CALCIO;;;KG;0,43;0,57;0;18;3;9,25
µGUA;;;KG;0,05;0,05;;;;
;;;;;;;;;
FILME DE POLIETILENO;HAVIR;;ML;1,17;1,45;5;18;3;9,25
;;;;;;;;;
MDO DE GOFRAGEM;EREGUE;;ML;2,34;2,50;0;0;3;9,25
;;;;;;;;;
TECIDOS;;;;;;;;;
SARJA  BRANCA;MALIBER; 1,45 ;ML;3,20;3,73;0;12;7;9,25
SARJA PRETA;MALIBER; 2,45 ;ML;3,59;4,19;0;12;7;9,25
JERSEY POLIêSTER;; 1,50 ;KG;14,31;16,50;0;7;3;9,25
FORRO ALGOD«O LEVE;PEIXOTO; 1,60 ;ML;1,83;2,13;0;12;7;9,25
MALH«O CRU;SANSOUCCI; 1,50 ;ML;2,00;2,45;0;12;3;9,25
MALH«O PRETO;SANSOUCCI; 1,50 ;ML;2,86;3,50;0;12;3;9,25
FLANELADO CRU;; 1,50 ;ML;1,88;2,30;0;12;3;9,25
TELA DE REFORÄO ;BMD; 1,50 ;ML;1,13;1,38;0;12;3;9,25
JERSEY NYLON;; 1,50 ;KG;17,92;21,92;0;12;3;9,25
JERSEY PE Cipatex Ketten 40g/m2;Morais; 1,50 ;KG;20,71;25,33;0;12;3;9,25
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
FIO ALGOD«O;;;;;;;;;
FIO 30/01;VENTUNO;;KG;8,50;10,40;0;12;3;9,25
