DESCRICAO;TIPO;FORN.;LARG.;UNID.;CUSTO;AVISTA;% IPI;% ICM;FRETE
JERSEY PRETO;SERVICOS;WT;;KG;4.49;4.95;0;0;0
;SERVICOS;;;;;;;;
PLUMA BCO;SERVICOS;CRYB;;KG;4.54;5;0;0;0
PLUMA CORES;SERVICOS;CRYB;;KG;5.49;6.05;0;0;0
PLUMA PRETA;SERVICOS;CRYB;;KG;5.49;6.05;0;0;0
;SERVICOS;;;;;;;;
CACHARREL BCO;SERVICOS;WT;;KG;3.2;3.53;0;0;0
CACHARREL CORES;SERVICOS;WT;;KG;3.63;4;0;0;0
CACHARREL PRETO;SERVICOS;WT;;KG;4.61;5.08;0;0;0
;SERVICOS;;;;;;;;
CABEDAL BCO;SERVICOS;WT;;KG;2.99;3.3;0;0;0
CABEDAL CORES;SERVICOS;WT;;KG;3.54;3.9;0;0;0
CABEDAL PRETO;SERVICOS;WT;;KG;4.27;4.7;0;0;0
CABEDAL PRETO C/ ANTIMICROB.;SERVICOS;WT;;KG;5.79;6.38;0;0;0
;SERVICOS;;;;;;;;
LYCRA BCO;SERVICOS;PESSINA;;KG;3.2;3.53;0;0;0
LYCRA CORES;SERVICOS;PESSINA;;KG;3.63;4;0;0;0
LYCRA PRETA;SERVICOS;PESSINA;;KG;4.61;5.08;0;0;0
;SERVICOS;;;;;;;;
CAMURCA CORES;SERVICOS;PESSINA;;KG;12.58;13.86;0;0;0
;SERVICOS;;;;;;;;
CAMBRET CRÈ;SERVICOS;SC;;KG;2.86;3.15;0;0;0
CAMBRET CORES;SERVICOS;SC;;KG;5.17;5.7;0;0;0
;SERVICOS;;;;;;;;
ESTAMPA NATUR;;;;MT;1.36;1.5;0;0;0
ENERGIA ELêETRICA;OUTROS;CEEE;;KW/H;0.17;0.22;;25;
GAS;OUTROS;;;KG;;;;;
PLAST. TUBULAR;OUTROS;EMBAPLAST;;KG;2.16;2.16;0;;0
FITA ADESIVA;OUTROS;;;ROLO;0;;;17;
FITA ADESIVA ALTA TEMP.;OUTROS;;;ROLO;0;;;;
ETIQUETAS;OUTROS;ANDRADE;;UN;0.1;0.1;0;;0
TUBETES;OUTROS;KEBACH;;UN;0.45;0.81;4;17;5
ALCOOL;OUTROS;Carrefour;;L;2;2;0;0;0
ESPUMA VISCO CAMA GRANDE;LINHA_PET;;;UN;46;46;;0;
ESPUMA VISCO CAMA PEQUENA;LINHA_PET;;;UN;25;25;;0;
ESPUMA NORMAL CAMA GRANDE;LINHA_PET;;;UN;34;34;;0;
ESPUMA NORMAL CAMA PEQ.;LINHA_PET;;;UN;17;17;;0;
TRATAMENTO INSECTA;LINHA_PET;DUBLAUTO;;MT;3;3;;0;
TECIDO CAMA JACKARD;LINHA_PET;MENEGHEL;;MT;6.24;6.5;0;7;3
MAO DE OBRA CAPA GRANDE;LINHA_PET;KEZO;;UN;7.3;7.3;;;
MAO DE OBRA CAPA PEQUENA;LINHA_PET;KEZO;;UN;7.3;7.3;;;
EMBALAGEM CAMA;LINHA_PET;;;UN;0.2;0.2;0;;0
ZIPPER;LINHA_PET;;;UN;0.5;0.5;0;;0
BORDADO LOGO;LINHA_PET;KEZO;;UN;3.2;3.2;0;;0
SILK LOGO;LINHA_PET;KEZO;;UN;2.1;2.1;0;;0
SPRAY PARA AMBIENTE;LINHA_PET;NANOVETORES; 500ml ;UN;0;0;0;0;0
BANHO A SECO;LINHA_PET;NANOVETORES; 250ml ;UN;10.8;10.8;;0;
DOSE ENICA;LINHA_PET;NANOVETORES;;UN;;;;0;
;LINHA_PET;;;;;;;;
SHAMPOO;LINHA_PET;NANOVETORES; 250ml ;UN;6.7;6.7;;0;
CONDICIONADOR;LINHA_PET;NANOVETORES; 250ml ;UN;8.14;8.14;;0;
SOLUCAO HIDRATANTE;LINHA_PET;NANOVETORES; 250ml ;UN;7.67;7.67;0;0;0
